x1 x2 v a psi kappa t
-1.121990 2.159494 1.120000 0.000000 -0.621204 -3.150000 3.214286
-1.113859 2.153674 1.120000 0.000000 -0.652704 -3.100000 3.223214
-1.105914 2.147601 1.120000 0.000000 -0.683704 -3.050000 3.232143
-1.098162 2.141284 1.120000 0.000000 -0.714204 -3.000000 3.241071
-1.090606 2.134734 1.120000 0.000000 -0.744204 -2.950000 3.250000
-1.083249 2.127960 1.120000 0.000000 -0.773704 -2.900000 3.258929
-1.076096 2.120972 1.120000 0.000000 -0.802704 -2.850000 3.267857
-1.069148 2.113780 1.120000 0.000000 -0.831204 -2.800000 3.276786
-1.062409 2.106392 1.120000 0.000000 -0.859204 -2.750000 3.285714
-1.055878 2.098819 1.120000 0.000000 -0.886704 -2.700000 3.294643
-1.049558 2.091069 1.120000 0.000000 -0.913704 -2.650000 3.303571
-1.043450 2.083152 1.120000 0.000000 -0.940204 -2.600000 3.312500
-1.037554 2.075075 1.120000 0.000000 -0.966204 -2.550000 3.321429
-1.031870 2.066847 1.120000 0.000000 -0.991704 -2.500000 3.330357
-1.026397 2.058478 1.120000 0.000000 -1.016704 -2.450000 3.339286
-1.021135 2.049974 1.120000 0.000000 -1.041204 -2.400000 3.348214
